ID,name,email,phone,city,country_code,creditLimit,createdAt,createdBy,modifiedAt,modifiedBy
76634902-53b1-402a-9208-d89d3a83698b,name-7663490,email-7663490,phone-7663490,city-7663490,247,1033857706.92,2022-03-24T00:00:00.000Z,createdBy.4k96q@example.com,2018-07-02T00:00:00.000Z,modifiedBy.4k96q@example.net
25329878-4998-48b2-9688-457067509ba2,name-25329878,email-25329878,phone-25329878,city-25329878,247,2912009262.21,2018-02-21T00:00:00.000Z,createdBy.f2wnq@example.com,2010-07-08T00:00:00.000Z,modifiedBy.f2wnq@example.org
25329879-8a7c-401e-ac81-016c9c803814,name-25329879,email-25329879,phone-25329879,city-25329879,247,5456368495.38,2008-07-08T00:00:00.000Z,createdBy.f2wnr@example.com,2019-06-26T00:00:00.000Z,modifiedBy.f2wnr@example.org
25329880-e82d-4d3e-9949-78eca1ff09b4,name-25329880,email-25329880,phone-25329880,city-25329880,247,666027034.89,2001-09-14T00:00:00.000Z,createdBy.f2wns@example.net,2006-08-01T00:00:00.000Z,modifiedBy.f2wns@example.org
25329881-a635-4d97-8eda-5e7ea678a215,name-25329881,email-25329881,phone-25329881,city-25329881,247,1663598691.18,2005-01-10T00:00:00.000Z,createdBy.f2wnt@example.net,2014-11-02T00:00:00.000Z,modifiedBy.f2wnt@example.com
25329882-fb74-40b9-a3da-71f1adc90dd1,name-25329882,email-25329882,phone-25329882,city-25329882,247,6627353553.54,2000-07-27T00:00:00.000Z,createdBy.f2wnu@example.com,2009-12-05T00:00:00.000Z,modifiedBy.f2wnu@example.org
25329883-aa26-4a59-a250-b649c8ad93cb,name-25329883,email-25329883,phone-25329883,city-25329883,247,9377988852.13,2001-12-22T00:00:00.000Z,createdBy.f2wnv@example.com,2003-11-18T00:00:00.000Z,modifiedBy.f2wnv@example.net
25329884-aa69-4010-aa5e-640ec6a79efa,name-25329884,email-25329884,phone-25329884,city-25329884,247,3258382571.47,2004-11-25T00:00:00.000Z,createdBy.f2wnw@example.org,2003-12-13T00:00:00.000Z,modifiedBy.f2wnw@example.org
25329885-7562-4172-a6c8-007a66fd7a4d,name-25329885,email-25329885,phone-25329885,city-25329885,247,8472632373.3,2001-04-02T00:00:00.000Z,createdBy.f2wnx@example.org,2022-02-07T00:00:00.000Z,modifiedBy.f2wnx@example.org
25329886-00ff-4b72-9b69-4a2d692eac38,name-25329886,email-25329886,phone-25329886,city-25329886,247,5512266152.07,2008-04-20T00:00:00.000Z,createdBy.f2wny@example.org,2006-01-02T00:00:00.000Z,modifiedBy.f2wny@example.net
